CAPTAIN,SPAN,CHANGING YEAR,MATCH,WON,LOSS,PERFORMANCE
Rashid Latif,2000-2002,2000,25,13,12,52
Inzamam-ul-Haq,2002-2007,2002,87,51,33,58.6206896552
Shoaib Malik,2007-2009,2007,36,24,12,66.6666666667
Misbah-ul-Haq,2008-2015,2008,87,45,39,51.724137931
Azhar Ali,2015-2016,2015,31,12,18,38.7096774194
