CAPTAIN,SPAN,CHANGING YEAR,MATCH,WON,LOSS,PERFORMANCE
Naimur Rahman,2000-2006,2000,30,4,24,13.3333333333
Habibul Bashar,2006-2007,2006,69,29,40,42.0289855072
Mohammad Ashraful,2007-2009,2007,38,8,30,21.0526315789
Shakib Al Hasan,2009-2016,2009,50,23,26,46
