CAPTAIN,SPAN,CHANGING YEAR,MATCH,WON,LOSS,PERFORMANCE
SC Ganguly,2000-2007,2000,146,76,65,52.0547945205
MS Dhoni,2007-2016,2007,199,110,74,55.2763819095
