CAPTAIN,SPAN,CHANGING YEAR,MATCH,WON,LOSS,PERFORMANCE
BC Lara,2000-2007,2000,125,59,59,47.2
CH Gayle,2007-2010,2007,53,17,30,32.0754716981
DJ Bravo,2010-2014,2010,37,17,18,45.9459459459
JO Holder,2014-2016,2014,34,9,24,26.4705882353
