CAPTAIN,SPAN,CHANGING YEAR,MATCH,WON,LOSS,PERFORMANCE
ST Jayasuriya,2000-2001,2000,118,66,47,55.9322033898
MS Atapattu,2001-2006,2001,63,35,27,55.5555555556
DPMD Jayawardene,2006-2013,2006,126,68,49,53.9682539683
AD Mathews,2013-2016,2013,91,44,41,48.3516483516
