CAPTAIN,SPAN,CHANGING YEAR,MATCH,WON,LOSS,PERFORMANCE
HH Streak,2000-2004,2000,68,18,47,26.4705882353
T Taibu,2004-2006,2004,29,2,27,6.8965517241
P Utseya,2006-2010,2006,68,20,47,29.4117647059
E Chigumbura,2010-2016,2010,62,18,44,29.0322580645
