CAPTAIN,SPAN,CHANGING YEAR,MATCH,WON,LOSS,PERFORMANCE
CD McMillan,2000-2002,2000,8,2,6,25
CL Cairns,2002-2004,2002,7,1,6,14.2857142857
DL Vettori,2004-2011,2004,82,41,33,50
BB McCullum,2011-2016,2011,62,36,22,58.064516129
