CAPTAIN,SPAN,CHANGING YEAR,MATCH,WON,LOSS ,PERFORMANCE
AC Gilchrist,2000-2002,2000,17,12,4,70.5882352941
RT Ponting,2002-2012,2002,229,164,51,71.615720524
GJ Bailey,2012-2015,2012,29,16,10,55.1724137931
SPD Smith,2015-2016,2015,38,23,14,60.5263157895
